"Country","Industry","Industry_simple","Aggregate_level","GVA_total","Currency_ISO","Metric_type","Year","Base_year","Effective_year_GDP","GDP_annual","GDP_perc_norm","GDP_change_absolute","GDP_change_relative","GDP_perc_norm_mean","GDP_change_abs_mean","GDP_change_rel_mean","GDP_annual_mean","GVA_total_mean","GVA_total_allyears","Country_iso","Country_short"
"Australia","Agriculture, forestry and fishing","Fishing","1",4.3862e+10,"AUD","Constant",2020,"2022",2022,2.333221e+12,1.87989050329994,NA,NA,2.4074444726839,0.294142732300112,13.9844722713833,2.333221e+12,5.6171e+10,2.24684e+11,"AUS","Australia"
"Australia","Agriculture, forestry and fishing","Fishing","1",5.3945e+10,"AUD","Constant",2021,"2022",2022,2.333221e+12,2.3120398796342,0.432149376334261,22.9880078427796,2.4074444726839,0.294142732300112,13.9844722713833,2.333221e+12,5.6171e+10,2.24684e+11,"AUS","Australia"
"Australia","Agriculture, forestry and fishing","Fishing","1",6.2426e+10,"AUD","Constant",2022,"2022",2022,2.333221e+12,2.67552880760117,0.363488927966961,15.7215682639726,2.4074444726839,0.294142732300112,13.9844722713833,2.333221e+12,5.6171e+10,2.24684e+11,"AUS","Australia"
"Australia","Agriculture, forestry and fishing","Fishing","1",6.4451e+10,"AUD","Constant",2023,"2022",2022,2.333221e+12,2.76231870020028,0.0867898925991151,3.24384070739756,2.4074444726839,0.294142732300112,13.9844722713833,2.333221e+12,5.6171e+10,2.24684e+11,"AUS","Australia"
"Australia","Agriculture, forestry and fishing","Fishing","1",3.9876e+10,"AUD","Current",2020,"Current",2020,1.984598e+12,2.00927341456557,NA,NA,2.3283516143475,0.333127696517798,15.3981882111538,2135573333333.33,5.2849e+10,2.11396e+11,"AUS","Australia"
"Australia","Agriculture, forestry and fishing","Fishing","1",4.805e+10,"AUD","Current",2021,"Current",2021,2.088901e+12,2.30025262087576,0.290979206310193,14.4818123905306,2.3283516143475,0.333127696517798,15.3981882111538,2135573333333.33,5.2849e+10,2.11396e+11,"AUS","Australia"
"Australia","Agriculture, forestry and fishing","Fishing","1",6.2426e+10,"AUD","Current",2022,"Current",2022,2.333221e+12,2.67552880760117,0.375276186725404,16.314564031777,2.3283516143475,0.333127696517798,15.3981882111538,2135573333333.33,5.2849e+10,2.11396e+11,"AUS","Australia"
"Australia","Agriculture, forestry and fishing","Fishing","1",6.1044e+10,"AUD","Current",2023,"Current",2023,NA,NA,NA,NA,2.3283516143475,0.333127696517798,15.3981882111538,2135573333333.33,5.2849e+10,2.11396e+11,"AUS","Australia"
"Australia","Forestry and fishing","Fishing","2",8.014e+09,"AUD","Constant",2020,"2022",2022,2.333221e+12,0.343473678661387,NA,NA,0.350920465742422,0.00452878945743531,1.53131570811865,2.333221e+12,8187750000,3.2751e+10,"AUS","Australia"
"Australia","Forestry and fishing","Fishing","2",7.763e+09,"AUD","Constant",2021,"2022",2022,2.333221e+12,0.332716017899719,-0.0107576607616681,-3.13201896680809,0.350920465742422,0.00452878945743531,1.53131570811865,2.333221e+12,8187750000,3.2751e+10,"AUS","Australia"
